GPSTime,Date,Time,GPSAltitude
1368778398,(Mon.22.05),08:13:18,30.0
1368778411,(Mon. 22. 05),08:13:03,27.4
1368778422,(Mon. 22. 05),08:13:42,24.6
1368778586,(Mon. 22. 05),08:16:26,2.3
1368778743,(Mon. 22. 05),08:19:03,5.0
1368778819,(Mon. 22. 05),08:20:19,2.1
1368778964,(Mon. 22. 05),08:22:44,0.2
1368779008,(Mon. 22. 05),08:23:28,3.4
1368779019,(Mon. 22. 05),08:23:39,5.5
1368779070,(Mon. 22. 05),08:24:30,-8.7
1368779088,(Mon. 22. 05),08:24:48,3.0
1368779117,(Mon. 22. 05),08:25:17,6.0
1368779149,(Mon. 22. 05),08:25:49,8.7
1368779244,(Mon. 22. 05),08:27:24,9.9
1368779262,(Mon. 22. 05),08:27:42,1.7
1368779312,(Mon. 22. 05),08:28:32,9.9
1368779386,(Mon. 22. 05),08:29:46,13.4
1368779414,(Mon. 22. 05),08:30:14,8.4
1368779460,(Mon. 22. 05),08:31:00,10.4
1368779484,(Mon. 22. 05),08:31:24,5.1
1368787826,(Mon. 22. 05),10:50:26,8.7
1368788659,(Mon. 22. 05),11:04:19,5.8
1368789569,(Mon. 22. 05),11:19:29,7.7
1368789588,(Mon. 22. 05),11:19:48,7.0
1368789693,(Mon. 22. 05),11:21:33,9.2
1368789817,(Mon. 22. 05),11:23:37,18.1
1368789952,(Mon. 22. 05),11:25:52,8.1
1368795074,(Mon. 22. 05),12:51:14,10.9
1368795103,(Mon. 22. 05),12:51:43,4.4
1368795149,(Mon. 22. 05),12:52:29,11.8
1368795216,(Mon. 22. 05),12:53:36,7.5
1368795296,(Mon. 22. 05),12:54:56,5.9
1368795299,(Mon. 22. 05),12:54:59,5.8
1368795438,(Mon. 22. 05),12:57:18,6.2
1368795441,(Mon. 22. 05),12:57:21,5.6
1368795502,(Mon. 22. 05),12:58:22,14.7
1368795513,(Mon. 22. 05),12:58:33,5.9
1368795576,(Mon. 22. 05),12:59:36,3.4
1368795592,(Mon. 22. 05),12:59:52,0.7
1368795714,(Mon. 22. 05),13:01:54,-1.2
1368795759,(Mon. 22. 05),13:02:39,4.7
1368795838,(Mon. 22. 05),13:03:58,9.5
1368795888,(Mon. 22. 05),13:04:48,5.2
1368795928,(Mon. 22. 05),13:05:28,-0.2
1368795979,(Mon. 22. 05),13:06:19,4.0
1368796012,(Mon. 22. 05),13:06:52,6.4
1368796042,(Mon. 22. 05),13:07:22,0.4
1368796072,(Mon. 22. 05),13:07:52,9.8
1368796214,(Mon. 22. 05),13:10:14,-3.2
1368796223,(Mon. 22. 05),13:10:23,-0.7
1368796325,(Mon. 22. 05),13:12:05,0.8
1368796333,(Mon. 22. 05),13:12:13,-0.6
1368796385,(Mon. 22. 05),13:13:05,1.8
1368796425,(Mon. 22. 05),13:13:45,-1.3
1368796428,(Mon. 22. 05),13:13:48,-1.2
1368796449,(Mon. 22. 05),13:14:09,1.3
1368796471,(Mon. 22. 05),13:14:31,-0.5
1368796525,(Mon. 22. 05),13:15:25,-0.1
1368796574,(Mon. 22. 05),13:16:14,2.9
1368796660,(Mon. 22. 05),13:17:40,5.0
1368796675,(Mon. 22. 05),13:17:55,7.6
1368796758,(Mon. 22. 05),13:19:18,8.8
1368796873,(Mon. 22. 05),13:21:13,-1.1
1368796882,(Mon. 22. 05),13:21:22,0.8
1368796922,(Mon. 22. 05),13:22:02,0.1
1368796956,(Mon. 22. 05),13:22:36,0.5
1368797054,(Mon. 22. 05),13:24:14,2.7
1368797146,(Mon. 22. 05),13:25:46,5.8
1368797170,(Mon. 22. 05),13:26:10,12.7
1368797315,(Mon. 22. 05),13:28:35,2.2
1368797343,(Mon. 22. 05),13:29:03,4.8
1368797381,(Mon. 22. 05),13:29:41,8.8
1368797413,(Mon. 22. 05),13:30:13,15.9
1368797416,(Mon. 22. 05),13:30:16,15.9
1368810876,(Mon. 22. 05),17:14:36,22.1
1368810891,(Mon. 22. 05),17:14:51,6.4
1368810897,(Mon. 22. 05),17:14:57,6.3
1368810978,(Mon. 22. 05),17:16:18,7.0
1368811086,(Mon. 22. 05),17:18:06,9.7
1368811099,(Mon. 22. 05),17:18:19,10.1
1368811139,(Mon. 22. 05),17:18:59,5.2
1368811235,(Mon. 22. 05),17:20:35,2.4
1368811270,(Mon. 22. 05),17:21:10,4.7
1368811351,(Mon. 22. 05),17:22:31,3.5
