GPSTime,GPSAltitude
1368778398,30.0
1368778411,27.4
1368778422,24.6
1368778586,2.3
1368778743,5.0
1368778819,2.1
1368778964,0.2
1368779008,3.4
1368779019,5.5
1368779070,-8.7
1368779088,3.0
1368779117,6.0
1368779149,8.7
1368779244,9.9
1368779262,1.7
1368779312,9.9
1368779386,13.4
1368779414,8.4
1368779460,10.4
1368779484,5.1
1368787826,8.7
1368788659,5.8
1368789569,7.7
1368789588,7.0
1368789693,9.2
1368789817,18.1
1368789952,8.1
1368795074,10.9
1368795103,4.4
1368795149,11.8
1368795216,7.5
1368795296,5.9
1368795299,5.8
1368795438,6.2
1368795441,5.6
1368795502,14.7
1368795513,5.9
1368795576,3.4
1368795592,0.7
1368795714,-1.2
1368795759,4.7
1368795838,9.5
1368795888,5.2
1368795928,-0.2
1368795979,4.0
1368796012,6.4
1368796042,0.4
1368796072,9.8
1368796214,-3.2
1368796223,-0.7
1368796325,0.8
1368796333,-0.6
1368796385,1.8
1368796425,-1.3
1368796428,-1.2
1368796449,1.3
1368796471,-0.5
1368796525,-0.1
1368796574,2.9
1368796660,5.0
1368796675,7.6
1368796758,8.8
1368796873,-1.1
1368796882,0.8
1368796922,0.1
1368796956,0.5
1368797054,2.7
1368797146,5.8
1368797170,12.7
1368797315,2.2
1368797343,4.8
1368797381,8.8
1368797413,15.9
1368797416,15.9
1368810876,22.1
1368810891,6.4
1368810897,6.3
1368810978,7.0
1368811086,9.7
1368811099,10.1
1368811139,5.2
1368811235,2.4
1368811270,4.7
1368811351,3.5
1368811489,7.0
1368811516,7.4
1368811580,3.2
1368811627,9.6
1368811736,11.1
1368811849,9.8
1368811875,13.7
1368811931,-0.5
1368811976,-0.5
1368812024,-0.8
1368860963,9.5
1368860985,11.2
1368861034,14.1
1368861094,14.2
1368861139,4.1
1368861309,10.5
1368861392,10.0
1368861476,5.5
1368861551,5.8
1368861592,12.6
1368861601,15.7
1368861656,13.8
1368861772,11.3
1368861800,12.7
1368861953,28.6
1368862008,16.7
1368862067,12.6
1368862523,13.1
1368862544,14.0
1368862607,10.4
1368862617,13.2
1368862731,11.3
1368862851,6.9
1368862874,7.4
1368862976,8.1
1368863027,9.6
1368863043,10.1
1368863182,22.7
1368863318,13.1
1368863352,7.7
1368863443,12.7
1368863526,9.0
1368863557,7.9
1368875829,-1.1
1368875993,6.3
1368876009,10.4
1368876158,13.9
1368876221,9.9
1368876253,10.8
1368876362,4.2
1368876423,3.3
1368876456,3.4
1368876554,6.1
1368876582,16.6
1368876637,10.1
1368876702,9.5
1368876788,6.8
1368876837,6.4
1368876856,7.4
1368876921,12.8
1368876994,14.7
1368877064,14.5
1368962003,18.5
1368962091,15.0
1368962264,13.2
1368962310,18.1
1368962785,7.4
1368963085,10.3
1368963134,7.7
1368963380,22.5
1368963486,25.7
1368963510,12.7
1368963515,13.3
1368963530,17.9
1368963623,17.8
1368963665,33.5
1368966749,11.9
1368966819,9.5
1368966882,13.0
1368976224,16.7
1368976513,16.7
1368979812,5.9
1368979843,-1.9
1368980121,17.8
1368980187,16.4
1368985561,19.8
1368985582,14.0
1368985600,14.6
1368985628,13.2
1368985664,11.3
1368985699,13.8
1368985780,12.9
1368985879,18.7
1368985914,5.3
1368986015,5.7
1368986142,5.1
1368986215,12.2
1368986360,12.1
1368986406,9.8
1368986445,7.4
1368986640,14.3
1368986668,16.8
1368986760,13.4
1368986885,8.0
1368986908,0.6
1368986939,-2.7
1368986978,-1.6
1368987002,18.0
1368987039,9.7
1368987082,9.1
1368987146,9.5
1368987251,10.5
1368987256,10.9
1368987408,13.3
1368987457,13.5
1368987517,16.2
1368987546,16.5
1369000932,37.6
1369000937,37.6
1369000944,16.0
1369000955,15.9
1369000974,19.0
1369001004,19.4
1369001025,19.6
1369001075,24.2
1369001320,12.9
1369001347,12.0
1369001362,11.4
1369001396,15.6
1369001427,-2.5
1369001448,7.2
1369001559,11.1
1369001606,8.7
1369001772,20.0
1369036479,12.0
1369036537,12.4
1369036553,13.1
1369036581,10.0
1369036622,7.5
1369036647,12.4
1369036684,12.4
1369036701,4.9
1369036726,2.7
1369036758,-9.0
1369036855,13.1
1369036875,12.3
1369036912,5.7
1369036990,2.6
1369037029,5.5
1369037078,7.0
1369037100,-0.2
1369037150,2.6
1369037181,3.3
1369037243,14.6
1369037290,1.7
1369037381,4.7
1369037392,11.9
1369037413,9.5
1369037430,9.6
1369037480,4.0
1369037507,-2.5
1369037548,11.7
1369037589,7.6
1369037598,10.1
1369037658,13.1
1369037681,5.8
1369037720,20.1
1369037750,-4.1
1369037776,2.7
1369037804,-8.3
1369037830,16.9
1369037844,17.8
1369037874,19.5
1369037898,10.4
1369049018,22.9
1369049033,9.4
1369049064,11.5
1369049086,14.5
1369049127,13.6
1369049143,12.9
1369049157,16.8
1369049181,11.3
1369049205,12.5
1369049230,7.4
1369049322,7.5
1369049344,14.6
1369049369,9.6
1369049388,11.9
1369049416,13.4
1369049472,12.8
1369049496,11.4
1369049521,10.1
1369049539,4.6
1369049563,7.4
1369049589,15.3
1369049627,-0.1
1369049644,1.5
1369049684,7.7
1369049711,10.0
1369049745,12.4
1369049750,13.8
1369049784,4.2
1369049864,1.7
1369049883,6.7
1369049923,9.2
1369049942,5.5
1369049987,12.4
1369050019,13.3
1369050060,13.2
1369050067,12.4
1369050144,10.7
1369050180,7.3
1369050259,14.3
1369050285,11.5
1369050312,6.2
1369050332,7.7
1369050373,4.0
1369050426,7.4
1369050455,2.7
1369064646,17.3
1369064665,18.2
1369064692,12.8
1369064729,-1.5
1369064751,2.3
1369064798,0.0
1369064837,6.0
1369064860,4.9
1369064899,-3.7
1369064941,8.6
1369065015,6.3
1369065046,8.7
1369065067,16.1
1369065089,9.2
1369065103,7.8
1369065139,4.0
1369065169,12.1
1369065186,5.8
1369065210,5.0
1369065227,5.1
1369065268,8.2
1369065317,0.2
1369065339,-1.3
1369065384,0.9
1369065398,-0.1
1369065478,-0.1
1369065489,3.5
1369065515,5.4
1369065541,5.5
1369065545,5.6
1369065568,2.5
1369065583,2.1
1369065619,3.9
1369065644,7.2
1369065671,8.9
1369065683,8.4
1369065716,14.1
1369065755,11.3
1369065775,9.1
1369065783,8.3
1369065790,7.8
1369065813,8.9
1369065882,12.9
1369065904,13.9
1369065935,9.8
1369065941,9.6
1369065969,7.3
1369065987,8.0
1369066006,7.6
1369066032,11.2
1369087480,13.1
1369087488,9.3
1369087496,9.8
1369087510,8.8
1369087536,7.1
1369087558,8.5
1369087579,5.3
1369087617,6.2
1369087630,5.1
1369087641,7.5
1369087708,10.2
1369087731,8.9
1369087734,11.3
1369087782,12.4
1369087795,13.0
1369087881,12.1
1369087890,11.4
1369087937,6.9
1369087958,6.9
1369087976,12.5
1369088041,8.7
1369088053,4.2
1369088068,7.4
1369088113,5.8
1369088154,6.0
1369088223,9.1
1369088260,3.6
1369088277,5.3
1369088300,5.3
1369088342,12.0
1369088363,10.5
1369088384,13.8
1369088391,16.2
1369088462,11.6
1369088571,17.5
1369088652,11.2
1369088701,16.7
1369124442,19.6
1369124483,16.7
1369124580,15.5
1369124628,15.3
1369124654,9.6
1369124691,8.5
1369124736,14.8
1369124829,19.0
1369124919,19.9
1369125013,14.6
1369125061,18.1
1369125069,18.7
1369125191,15.1
1369125218,24.5
1369125244,25.2
1369125302,13.4
1369125345,13.5
1369125382,22.4
1369125415,8.8
1369125461,9.0
1369125477,19.4
1369138357,16.9
1369138366,15.9
1369138414,31.1
1369138450,22.3
1369138487,13.3
1369138550,17.2
1369138566,12.5
1369138600,15.7
1369138621,8.3
1369138668,10.5
1369138678,10.8
1369138695,8.4
1369138735,4.5
1369138751,11.7
1369138835,9.4
1369138893,8.9
1369138948,7.5
1369138984,10.4
1369139006,9.5
1369139056,9.7
1369139083,8.5
1369139108,12.1
1369139197,11.1
1369139220,9.0
1369139234,9.2
1369139249,9.4
1369139282,9.2
1369139327,6.1
1369139352,8.5
1369139365,8.3
1369139388,10.2
1369139441,9.0
1369139460,10.1
1369151379,21.6
1369151387,25.9
1369151394,24.2
1369151469,5.7
1369151506,5.7
1369151528,0.6
1369151548,2.4
1369151578,1.3
1369151601,7.1
1369151632,2.2
1369151690,6.5
1369151750,7.5
1369151769,6.5
1369151845,4.4
1369151852,5.8
1369151881,1.8
1369151951,0.5
1369152001,4.6
1369152021,4.8
1369152052,-1.8
1369152074,1.3
1369152114,1.8
1369152145,4.6
1369152166,6.0
1369152186,6.4
1369152207,2.1
1369152221,2.8
1369152282,11.6
1369152317,11.6
1369152332,10.2
1369152352,9.4
1369152378,5.1
1369152431,16.0
1369152496,12.7
1369152530,3.5
1369152562,2.2
1369219783,3.0
1369219821,11.5
1369219842,11.1
1369219865,9.0
1369219910,8.6
1369219937,7.8
1369219954,4.9
1369219991,17.1
1369220025,11.2
1369220133,14.0
1369220155,11.9
1369220200,10.9
1369220256,11.1
1369220299,6.2
1369220387,16.3
1369220416,4.8
1369220426,4.7
1369220460,3.3
1369220467,2.1
1369220539,7.7
1369220553,12.9
1369220615,17.3
1369220628,17.7
1369220632,16.3
1369220637,14.7
1369220698,12.6
1369220757,10.8
1369220773,12.3
1369220801,9.7
1369220827,14.3
1369220840,16.0
1369220845,13.3
1369220851,17.7
1369220887,12.1
1369220915,-0.5
1369220955,11.6
1369220965,12.4
1369220991,12.1
1369220996,10.9
1369221023,5.4
1369221051,9.3
1369228792,15.2
1369228802,11.3
1369228823,15.4
1369228861,11.5
1369228902,9.8
1369228940,16.3
1369228954,15.2
1369228990,17.6
1369229006,16.1
1369229050,8.2
1369229059,11.4
1369229086,16.6
1369229107,15.0
1369229148,10.0
1369229188,11.4
1369229221,10.8
1369229227,11.5
1369229241,12.2
1369229244,13.9
1369229272,14.6
1369229280,12.1
1369229342,18.5
1369229351,18.2
1369229364,15.7
1369229373,12.9
1369229392,7.1
1369229401,6.4
1369229412,7.9
1369229431,11.4
1369229436,11.7
1369229447,10.2
1369229471,9.4
1369229489,7.5
1369229499,5.9
1369229537,5.4
1369229563,6.9
1369229566,7.7
1369229572,9.9
1369229596,11.0
1369229639,6.7
1369229656,8.7
1369229689,10.4
1369229707,9.3
1369229714,6.5
1369229748,10.0
1369229778,6.4
1369229791,7.8
1369229797,10.8
1369229836,11.8
1369229863,13.4
1369229888,11.4
1369229955,13.6
1369229967,8.6
1369229971,8.8
1369229991,2.1
1369230001,3.8
1369230011,3.8
1369230043,9.9
1369230071,2.0
