GPSTime,TimeStamp,GPSAltitude
1368778398,2023-05-22T8:13:18,30.0
1368778411,2023-05-22T8:13:31,27.4
1368778422,2023-05-22T8:13:42,24.6
1368778586,2023-05-22T8:16:26,2.3
1368778743,2023-05-22T8:19:03,5.0
1368778819,2023-05-22T8:20:19,2.1
1368778964,2023-05-22T8:22:44,0.2
1368779008,2023-05-22T8:23:28,3.4
1368779019,2023-05-22T8:23:39,5.5
1368779070,2023-05-22T8:24:30,-8.7
1368779088,2023-05-22T8:24:48,3.0
1368779117,2023-05-22T8:25:17,6.0
1368779149,2023-05-22T8:25:49,8.7
1368779244,2023-05-22T8:27:24,9.9
1368779262,2023-05-22T8:27:42,1.7
1368779312,2023-05-22T8:28:32,9.9
1368779386,2023-05-22T8:29:46,13.4
1368779414,2023-05-22T8:30:14,8.4
1368779460,2023-05-22T8:31:00,10.4
1368779484,2023-05-22T8:31:24,5.1
1368787826,2023-05-22T10:50:26,8.7
1368788659,2023-05-22T11:04:19,5.8
1368789569,2023-05-22T11:19:29,7.7
1368789588,2023-05-22T11:19:48,7.0
1368789693,2023-05-22T11:21:33,9.2
1368789817,2023-05-22T11:23:37,18.1
1368789952,2023-05-22T11:25:52,8.1
1368795074,2023-05-22T12:51:14,10.9
1368795103,2023-05-22T12:51:43,4.4
1368795149,2023-05-22T12:52:29,11.8
1368795216,2023-05-22T12:53:36,7.5
1368795296,2023-05-22T12:54:56,5.9
1368795299,2023-05-22T12:54:59,5.8
1368795438,2023-05-22T12:57:18,6.2
1368795441,2023-05-22T12:57:21,5.6
1368795502,2023-05-22T12:58:22,14.7
1368795513,2023-05-22T12:58:33,5.9
1368795576,2023-05-22T12:59:36,3.4
1368795592,2023-05-22T12:59:52,0.7
1368795714,2023-05-22T13:01:54,-1.2
1368795759,2023-05-22T13:02:39,4.7
1368795838,2023-05-22T13:03:58,9.5
1368795888,2023-05-22T13:04:48,5.2
1368795928,2023-05-22T13:05:28,-0.2
1368795979,2023-05-22T13:06:19,4.0
1368796012,2023-05-22T13:06:52,6.4
1368796042,2023-05-22T13:07:22,0.4
1368796072,2023-05-22T13:07:52,9.8
1368796214,2023-05-22T13:10:14,-3.2
1368796223,2023-05-22T13:10:23,-0.7
1368796325,2023-05-22T13:12:05,0.8
1368796333,2023-05-22T13:12:13,-0.6
1368796385,2023-05-22T13:13:05,1.8
1368796425,2023-05-22T13:13:45,-1.3
1368796428,2023-05-22T13:13:48,-1.2
1368796449,2023-05-22T13:14:09,1.3
1368796471,2023-05-22T13:14:31,-0.5
1368796525,2023-05-22T13:15:25,-0.1
1368796574,2023-05-22T13:16:14,2.9
1368796660,2023-05-22T13:17:40,5.0
1368796675,2023-05-22T13:17:55,7.6
1368796758,2023-05-22T13:19:18,8.8
1368796873,2023-05-22T13:21:13,-1.1
1368796882,2023-05-22T13:21:22,0.8
1368796922,2023-05-22T13:22:02,0.1
1368796956,2023-05-22T13:22:36,0.5
1368797054,2023-05-22T13:24:14,2.7
1368797146,2023-05-22T13:25:46,5.8
1368797170,2023-05-22T13:26:10,12.7
1368797315,2023-05-22T13:28:35,2.2
1368797343,2023-05-22T13:29:03,4.8
1368797381,2023-05-22T13:29:41,8.8
1368797413,2023-05-22T13:30:13,15.9
1368797416,2023-05-22T13:30:16,15.9
1368810876,2023-05-22T17:14:36,22.1
1368810891,2023-05-22T17:14:51,6.4
1368810897,2023-05-22T17:14:57,6.3
1368810978,2023-05-22T17:16:18,7.0
1368811086,2023-05-22T17:18:06,9.7
1368811099,2023-05-22T17:18:19,10.1
1368811139,2023-05-22T17:18:59,5.2
1368811235,2023-05-22T17:20:35,2.4
1368811270,2023-05-22T17:21:10,4.7
1368811351,2023-05-22T17:22:31,3.5
1368811489,2023-05-22T17:24:49,7.0
1368811516,2023-05-22T17:25:16,7.4
1368811580,2023-05-22T17:26:20,3.2
1368811627,2023-05-22T17:27:07,9.6
1368811736,2023-05-22T17:28:56,11.1
1368811849,2023-05-22T17:30:49,9.8
1368811875,2023-05-22T17:31:15,13.7
1368811931,2023-05-22T17:32:11,-0.5
1368811976,2023-05-22T17:32:56,-0.5
1368812024,2023-05-22T17:33:44,-0.8
1368860963,2023-05-23T7:09:23,9.5
1368860985,2023-05-23T7:09:45,11.2
1368861034,2023-05-23T7:10:34,14.1
1368861094,2023-05-23T7:11:34,14.2
1368861139,2023-05-23T7:12:19,4.1
1368861309,2023-05-23T7:15:09,10.5
1368861392,2023-05-23T7:16:32,10.0
1368861476,2023-05-23T7:17:56,5.5
1368861551,2023-05-23T7:19:11,5.8
1368861592,2023-05-23T7:19:52,12.6
1368861601,2023-05-23T7:20:01,15.7
1368861656,2023-05-23T7:20:56,13.8
1368861772,2023-05-23T7:22:52,11.3
1368861800,2023-05-23T7:23:20,12.7
1368861953,2023-05-23T7:25:53,28.6
1368862008,2023-05-23T7:26:48,16.7
1368862067,2023-05-23T7:27:47,12.6
1368862523,2023-05-23T7:35:23,13.1
1368862544,2023-05-23T7:35:44,14.0
1368862607,2023-05-23T7:36:47,10.4
1368862617,2023-05-23T7:36:57,13.2
1368862731,2023-05-23T7:38:51,11.3
1368862851,2023-05-23T7:40:51,6.9
1368862874,2023-05-23T7:41:14,7.4
1368862976,2023-05-23T7:42:56,8.1
1368863027,2023-05-23T7:43:47,9.6
1368863043,2023-05-23T7:44:03,10.1
1368863182,2023-05-23T7:46:22,22.7
1368863318,2023-05-23T7:48:38,13.1
1368863352,2023-05-23T7:49:12,7.7
1368863443,2023-05-23T7:50:43,12.7
1368863526,2023-05-23T7:52:06,9.0
1368863557,2023-05-23T7:52:37,7.9
1368875829,2023-05-23T11:17:09,-1.1
1368875993,2023-05-23T11:19:53,6.3
1368876009,2023-05-23T11:20:09,10.4
