,SourceFile,Day,GPSTime,AccelerationVectorZ,DigitalZoomRatio,GPSImgDirection,GPSAltitude,CloudGroup,CloudType1,Type1per,CloudType2,Type2per,CloudType3,Type3per,CloudType4,Type4per,CloudType5,Type5per,DateTimeOriginal,GPSLatitude,GPSLongitude,FocalLengthIn35mmFormat
1,001_Day1.heic,1,1368778398,0.4859855471,4.075471698,321.0178528,30,High-level,Contrail,57.4,Fibratus,39.6,Cirrus,1.6,,,,,2023:05:22 08:13:18,"60 deg 11' 29.86"" N","24 deg 50' 12.87"" E",105 mm
2,002_Day1.heic,1,1368778411,0.6370930073,4.075471698,188.3263091,27.4,High-level,Cirrus,94.0,Virga,3.2,Lacunosus,2.6,,,,,2023:05:22 08:13:31,"60 deg 11' 29.53"" N","24 deg 50' 12.84"" E",105 mm
3,003_Day1.heic,1,1368778422,0.9603663086,4.075471698,15.80110742,24.6,High-level,Lacunosus,96.3,Cirrus,2.8,,,,,,,2023:05:22 08:13:42,"60 deg 11' 29.49"" N","24 deg 50' 13.54"" E",105 mm
4,004_Day1.heic,1,1368778586,0.3427830639,4.165289256,335.4667056,2.3,High-level,Cirrocumulus,75.3,Lacunosus,10.7,Fibratus,6.2,Undulatus,3.6,Cirrus,2.0,2023:05:22 08:16:26,"60 deg 11' 26.80"" N","24 deg 50' 6.00"" E",107 mm
5,005_Day1.heic,1,1368778743,0.42766425,4.165289256,278.0133668,5,High-level,Cirrocumulus,94.4,Undulatus,4.8,,,,,,,2023:05:22 08:19:03,"60 deg 11' 25.68"" N","24 deg 49' 54.68"" E",107 mm
6,006_Day1.heic,1,1368778819,0.4080334305,4.119891008,303.4091492,2.1,High-level,Cirrus,35.3,Fibratus,23.6,Lacunosus,14.2,Cirrocumulus,13.2,Undulatus,5.7,2023:05:22 08:20:19,"60 deg 11' 25.30"" N","24 deg 49' 49.94"" E",106 mm
7,007_Day1.heic,1,1368778964,0.2785378694,4.119891008,276.6474609,0.2,High-level,Cirrocumulus,49.2,Fibratus,32.3,Cavum,6.0,Cirrostratus,4.8,Undulatus,3.6,2023:05:22 08:22:44,"60 deg 11' 20.20"" N","24 deg 49' 45.88"" E",106 mm
8,008_Day1.heic,1,1368779008,0.4136148097,3.203389831,306.0328677,3.4,High-level,Cirrocumulus,69.0,Lacunosus,23.0,Fibratus,5.0,Cirrus,1.6,,,2023:05:22 08:23:28,"60 deg 11' 19.48"" N","24 deg 49' 44.93"" E",82 mm
9,009_Day1.heic,1,1368779019,0.6127973199,4.097560976,227.9673614,5.5,High-level,Undulatus,56.0,Cirrocumulus,42.9,,,,,,,2023:05:22 08:23:39,"60 deg 11' 19.45"" N","24 deg 49' 44.88"" E",106 mm
10,010_Day1.heic,1,1368779070,0.398767769,4.097560976,218.7758637,-8.7,High-level,Cirrus,72.7,Virga,13.9,Lacunosus,9.0,Altocumulus,1.8,Horseshoe vortex,1.1,2023:05:22 08:24:30,"60 deg 11' 18.02"" N","24 deg 49' 43.48"" E",106 mm
11,011_Day1.heic,1,1368779088,0.2271339298,4.097560976,299.9428711,3,High-level,Cirrus,60.4,Fibratus,34.3,Radiatus,2.4,Cavum,1.3,,,2023:05:22 08:24:48,"60 deg 11' 17.61"" N","24 deg 49' 43.91"" E",106 mm
12,012_Day1.heic,1,1368779117,0.2726038397,4.097560976,349.898285,6,High-level,Cirrocumulus,89.0,Lacunosus,8.5,Fibratus,1.2,,,,,2023:05:22 08:25:17,"60 deg 11' 16.96"" N","24 deg 49' 43.06"" E",106 mm
13,013_Day1.heic,1,1368779149,0.5118551255,4.097560976,290.978882,8.7,High-level,Fibratus,51.0,Contrail,11.1,Cirrus,10.5,Undulatus,7.7,Cirrocumulus,7.6,2023:05:22 08:25:49,"60 deg 11' 16.26"" N","24 deg 49' 42.23"" E",106 mm
14,014_Day1.heic,1,1368779244,0.2916852236,4.097560976,267.8129883,9.9,High-level,Fibratus,68.9,Cirrus,29.3,Cirrocumulus,1.1,,,,,2023:05:22 08:27:24,"60 deg 11' 13.15"" N","24 deg 49' 38.06"" E",106 mm
15,015_Day1.heic,1,1368779262,0.4015782475,4.097560976,309.6838377,1.7,High-level,Cirrocumulus,95.9,Undulatus,3.3,,,,,,,2023:05:22 08:27:42,"60 deg 11' 12.75"" N","24 deg 49' 37.63"" E",106 mm
16,016_Day1.heic,1,1368779312,0.4787105025,4.097560976,293.1630859,9.9,High-level,Cirrus,96.7,Fibratus,3.1,,,,,,,2023:05:22 08:28:32,"60 deg 11' 12.09"" N","24 deg 49' 38.31"" E",106 mm
17,017_Day1.heic,1,1368779386,0.4238418933,4.097560976,265.0150146,13.4,High-level,Cirrus,89.9,Fibratus,5.3,Undulatus,3.4,,,,,2023:05:22 08:29:46,"60 deg 11' 9.12"" N","24 deg 49' 36.09"" E",106 mm
18,018_Day1.heic,1,1368779414,0.2548644841,4.097560976,296.1582946,8.4,High-level,Cavum,40.1,Cirrostratus,27.5,Cirrocumulus,23.8,Virga,3.3,Cirrus,1.8,2023:05:22 08:30:14,"60 deg 11' 8.83"" N","24 deg 49' 34.53"" E",106 mm
